# Absorption spectrum
# exc. energy / eV    osc. strength
4.76727662586010     0.09536999478241
4.94777703720944     0.00000078331198
4.94895381086482     0.00000000000000
4.95024006568727     0.00000000000039
4.95041387933763     0.00000049594961
4.95205399053687     0.00000000044596
4.95210806568696     0.00000426183678
4.95266135555745     0.00000838689151
4.95298142251045     0.00000000000821
4.95336586925272     0.00000000003983
4.95371927131204     0.00000260752980
4.95438946290116     0.00000000031675
4.95442079100164     0.00003926848055
4.95523011022201     0.00000735427796
4.95685230311393     0.00000000001652
4.95758099075815     0.00000000000405
4.95809630968390     0.00000000054724
4.95820163843634     0.00004177911417
4.95872862639207     0.00000454430875
4.95968104577549     0.00000388101866
4.96056572044002     0.00000520367440
4.96185835379748     0.00000001056605
4.96187704964856     0.00001711685135
4.96242041564443     0.00000000001967
4.96372643824369     0.00000486714610
4.96471518624175     0.00000000000202
4.96587218421408     0.00000000000025
4.96662819097400     0.00002963092286
4.96746183657709     0.00000000001468
4.96835198121674     0.00000097084508
4.96938514657760     0.00000000000008
4.96973403563683     0.00001783886943
4.97145973520164     0.00000000001169
4.97188135556098     0.00000623429129
4.97220361814444     0.00000000001488
4.97459179700793     0.00000330489086
4.97531537179722     0.00000000000049
4.97599730079861     0.00000000000392
4.97657282011088     0.00000329543013
4.97786244736963     0.00000000000094
4.97799745337459     0.00000027358425
4.97837543374069     0.00000004260939
4.97847464743439     0.00000000000002
4.97939644681154     0.00000000000002
4.97987064551376     0.00000000000017
4.98041510123530     0.00000001863395
4.98076818528978     0.00000089448574
4.98202782995807     0.00000000000036
4.98274038919092     0.00000190845799
4.98339913237525     0.00000029378532
4.98397658023866     0.00000000000026
4.98508591065861     0.00000000000040
4.98567748505049     0.00000178317462
4.98620238273902     0.00000000000033
4.98655043431136     0.00000092991554
4.98745158631969     0.00000000001519
4.98791868174447     0.00001029364622
4.98803439039538     0.00000000002436
4.98921763588170     0.00000000011659
4.98951323498789     0.00003547425823
4.99022175441169     0.00000000000034
4.99068592300873     0.00002090633204
4.99216737937238     0.00016290972791
4.99232767317689     0.00000000006933
4.99272127295209     0.00014377324028
4.99316509585146     0.00006600011516
4.99394739733341     0.00000000000098
4.99426055701804     0.00000000003461
4.99476438803739     0.00000000397566
4.99505613294232     0.00000000005371
4.99557541466328     0.00001394900144
4.99602189030576     0.00002268491784
4.99617036736422     0.00000000000090
4.99770014611361     0.00000000017616
4.99811136310273     0.00006032559230
4.99826917010953     0.00000000247715
4.99917464924633     0.00000499390522
5.00024612458469     0.00001897498362
5.00025437172294     0.00000003633709
5.00154564552526     0.00000000001778
5.00223641693325     0.00000716295853
5.00366059121689     0.00002571724404
5.00551183675346     0.00000000000202
5.00779400055267     0.00000000000076
5.00954410678788     0.00000000000142
5.01038777050568     0.00000177542429
5.01041924940742     0.00000000004373
5.01061469516037     0.00000452192273
5.01119086460422     0.00000178951516
5.01119482709747     0.00000000011037
5.01180928214986     0.00000069478438
5.01289900759335     0.00000653211963
5.01328300306161     0.00000000000024
5.01398177484699     0.00006243903222
5.01422025509404     0.00000000001019
5.01472207736635     0.00000000064346
5.01479580465651     0.00002497244039
5.01511609362897     0.00021796868744
5.01581816239898     0.00000000000116
5.01671056408358     0.00004568166227
5.01678362103741     0.00000000083539
5.01768232844084     0.00000000001341
5.01814932402918     0.00001558811457
5.01877281694701     0.00000000000184
5.01938917686669     0.00014753432577
5.02057716137333     0.00000383782815
5.02086300022412     0.00000000015316
5.02360096675483     0.00000000001440
5.02411214693655     0.00000700924685
5.02449895580629     0.00000030845044
5.02463208452020     0.00000000000849
5.02643686266167     0.00000000001654
5.02696504786333     0.00000358018299
5.02844590516292     0.00000000000646
5.02911938729841     0.00000005854492
5.02933628020249     0.00000000000071
5.03056710649671     0.00000434485520
5.03164153527115     0.00000000000702
5.03189080563678     0.00001359810146
5.03312019764119     0.00000000005619
5.03329245049408     0.00000343480939
5.03405182251255     0.00000000000535
5.03418862808002     0.00000005484890
5.03448692398414     0.00001954420923
5.03532866835899     0.00000000000060
5.03589621775111     0.00000000000019
5.03681510167299     0.00000000000314
5.03708991759676     0.00000381817159
5.03741940910341     0.00000000000338
5.03779292653100     0.00000238637914
5.03868665478227     0.00000000002291
5.03875818003737     0.00000473640903
5.03929933095133     0.00000000000710
5.03973989966767     0.00002584662231
5.03996390875462     0.00000000015390
5.04071860736808     0.00000000000687
5.04121246706627     0.00002684539353
5.04156058156202     0.00012586072714
5.04207157205667     0.00006429985305
5.04335132164580     0.00000000241596
5.04339497231356     0.00019736860783
5.04470830170295     0.00006208685808
5.04487208108473     0.00000000015814
5.04519270654965     0.00000020005109
5.04656529333305     0.00000000002991
5.04709144499326     0.00000000000347
5.04728321014856     0.00001190874293
5.04801056640470     0.00000000000528
5.04842045112724     0.00001016349418
5.04882352251297     0.00000023260769
5.04886925964441     0.00000000001430
5.04909399821575     0.00000000000247
5.04940617290104     0.00000000000012
5.04972028329536     0.00000140016084
5.04979529265572     0.00000000002967
5.05079675024439     0.00000112003651
5.05079728928660     0.00000210878472
5.05139306076857     0.00000039236325
5.05196168625915     0.00000026036975
5.05245020224003     0.00000000001554
5.05331182569381     0.00000943570235
5.05367856119043     0.00000000038288
5.05370789366103     0.00006503362053
5.05455114275570     0.00000047164385
5.05481485202318     0.00000000051482
5.05499664685640     0.00006371814990
5.05521165707488     0.00000000001541
5.05576341282805     0.00000738098189
5.05603372246572     0.00000000000222
5.05670346740567     0.00000000000641
5.05678646029396     0.00001102139193
5.05760223065489     0.00000110283859
5.05780767728151     0.00000000000787
